sub1,sub2,sub3,sub4,sub5,100mspd,10mspd
2.591430578,1.867308403,0.207170462,0.157027616,32.50685785,12.9127,10.5784
2.412469424,1.299366904,-0.589726385,-0.165954524,32.4770963,12.8732,10.5575
2.298884525,0.934795014,-0.109920426,0.192939642,32.44417403,12.7854,10.47
2.60317782,0.838584798,0.164915497,-0.231189631,32.41354694,12.6677,10.34
2.372812696,0.966487308,0.068051636,0.262743176,32.38803749,12.5429,10.1998
2.288341125,1.190051597,0.386373161,-0.281669847,32.35884204,12.4337,10.0811
2.702503612,1.511711417,-0.186588501,0.286653734,32.32595683,12.3577,10.0079
2.144554918,1.844403878,-0.926224084,-0.260888556,32.28450471,12.3138,9.9761
2.393925313,2.119467277,0.587193338,0.202943301,32.25055833,12.2962,9.9752
2.578679136,1.918833314,1.151011004,-0.129018429,32.21197774,12.2995,9.9946
2.001419255,1.159435044,-0.991758645,0.063976464,32.16396276,12.3197,10.0262
2.455740524,0.268586881,-0.997227064,-0.005829131,32.1171947,12.3601,10.0718
2.290350438,-0.459410026,1.180761163,-0.051573897,32.07361513,12.4255,10.1353
1.961873789,-1.154356701,0.630417455,0.105691902,32.02743362,12.5205,10.2207
2.430662344,-2.02731404,-1.029321916,-0.147990459,31.98184793,12.6466,10.3288
1.979191275,-3.057575518,-0.280308522,0.171499975,31.94198019,12.791,10.4483
2.023572065,-3.904068546,0.576550114,-0.181537031,31.90752762,12.9367,10.564
2.312832068,-4.059269911,0.103274785,0.168924141,31.88543492,13.0661,10.6605
1.791229885,-3.489318538,-0.072738484,-0.152545265,31.87020576,13.1678,10.7286
2.234308912,-2.583649233,-0.1713281,0.13307937,31.86291831,13.2563,10.7843
2.081093936,-1.875606174,-0.464908001,-0.128643595,31.86278987,13.3521,10.8501
1.889069813,-1.570268773,0.398032164,0.137781928,31.86155112,13.4753,10.9479
2.350911407,-1.240975671,0.907464471,-0.151319817,31.85612755,13.6406,11.0924
1.822244947,-0.291476889,-0.731831263,0.17103465,31.85161649,13.8367,11.2647
2.14348064,1.233487865,-1.12469171,-0.197443715,31.85035556,14.0442,11.4359
2.200545027,2.539212353,1.066980297,0.215559085,31.85271255,14.2404,11.5746
1.774015609,2.722772359,1.011631501,-0.216570892,31.84573672,14.4054,11.6564
2.368848219,1.893562615,-1.202189999,0.211741082,31.83450869,14.536,11.6911
1.792152177,0.938192088,-0.649117906,-0.196523069,31.82075881,14.6343,11.6979
2.003704691,0.68433227,1.10227853,0.164518712,31.80780834,14.7027,11.6961
2.212312785,1.014707621,0.170019495,-0.10552602,31.77845153,14.7436,11.7007
1.545016111,1.488246463,-0.596280294,0.046363285,31.75106044,14.7623,11.7115
