sub1,sub2,sub3,sub4
23.7453963,326.628665,830.6331183,4450.42282
209.3161455,249.5593315,867.820056,4450.664467
47.53312763,169.8413484,897.6738343,4451.53169
-144.3631604,91.08431163,919.8904622,4452.998387
-99.87320446,16.7283191,934.2381576,4455.036728
-6.73161211,-50.19514779,940.5595565,4457.617203
67.59373307,-107.2755332,938.7731235,4460.708677
93.90665701,-152.8888494,928.8737521,4464.27844
-130.1841249,-186.3007072,910.9325541,4468.292278
-44.54401362,-207.6963605,885.0958453,4472.714529
-34.55742473,-218.1340779,851.5833466,4477.508156
-36.33516667,-219.4252786,810.6856263,4482.634819
22.08595368,-213.9517219,762.7608188,4488.054949
111.9974378,-204.4359323,708.2306641,4493.72783
52.90779379,-193.6853915,647.5759189,4499.611679
11.34848092,-184.3334091,581.3311976,4505.663731
58.01014037,-178.5997768,510.0793069,4511.84033
137.1901548,-178.0923172,434.4451442,4518.097018
174.6486125,-183.6664773,355.0892331,4524.388632
-226.7757613,-195.3546052,272.7009733,4530.669393
-216.5446556,-212.3700417,187.991684,4536.893013
-111.9360084,-233.1843028,101.6875229,4543.012788
1.415032169,-255.6690958,14.52235967,4548.981704
106.3360766,-277.2893007,-72.76931289,4554.752537
-12.2997204,-295.3288871,-159.4593538,4560.277961
-94.22854443,-307.1293506,-244.8327574,4565.510652
-9.31939505,-310.3198262,-328.1941732,4570.403394
52.56442577,-303.0195181,-408.8740953,4574.909188
103.7195698,-283.9962677,-486.2346566,4578.981355
143.1809154,-252.769591,-559.6749739,4582.573649
162.9174819,-209.6518553,-628.6359905,4585.640364
-110.3247449,-155.7269128,-692.6047776,4588.136435
-120.0384048,-92.77089284,-751.1182547,4590.017552
-137.7594405,-23.12451521,-803.7663054,4591.240261
-111.2079972,50.47019448,-850.1942675,4591.76207
0.79946892,125.0537647,-890.1047864,4591.541553
25.80253227,197.6380482,-923.2590297,4590.538449
123.8884614,265.38504,-949.477268,4588.713767
87.12601348,325.7629449,-968.6388349,4586.029877
51.38114588,376.66973,-980.6814868,4582.450611
19.63080463,416.5180314,-985.600191,4577.941355
-4.002877221,444.2791146,-983.4453749,4572.469138
-25.79928077,459.4872401,-974.3206783,4566.002719
-41.12133417,462.2089114,-958.3802522,4558.512675
-45.23966145,452.9838398,-935.8256561,4549.971478
-42.56706062,432.745893,-906.9024063,4540.353574
-36.92199164,402.7327647,-871.8962307,4529.635458
-29.44932423,364.3926747,-831.1290912,4517.795741
-15.9754214,319.2952333,-784.9550304,4504.815219
-2.472935721,269.0519086,-733.7559044,4490.676932
10.80127344,215.2495638,-677.9370593,4475.366222
23.60367396,159.3985488,-617.9230098,4458.870787
33.74737911,102.8950703,-554.1531755,4441.180726
41.61294198,46.99619935,-487.0777253,4422.288584
43.9591627,-7.194971159,-417.153581,4402.18939
46.59673869,-58.73680539,-344.840621,4380.880688
43.02736905,-106.851812,-270.5981255,4358.362568
31.96029616,-150.9264895,-194.8814952,4334.637689
10.72738217,-190.5093995,-118.1392721,4309.711289
-2.513146301,-225.3075793,-40.81048337,4283.591209
-24.99501824,-255.1805464,36.67767659,4256.287888
-48.86564457,-280.1305437,113.9118164,4227.814372
-74.38283149,-300.2874418,190.4939682,4198.186305
-104.5678711,-315.8869134,266.0428622,4167.421922
-149.1757868,-327.2411105,340.1948649,4135.542032
-140.9225461,-334.7020478,412.6045959,4102.569998
-41.14785588,-338.6190981,482.9452455,4068.531708
80.16909969,-339.2932653,550.908617,4033.455549
215.3847664,-336.9320515,616.2049238,3997.372361
185.3417939,-331.6095754,678.5623764,3960.315405
118.7700898,-323.236988,737.7265927,3922.320306
73.40318074,-311.5480571,793.4598729,3883.425003
15.5739197,-296.1039928,845.5403769,3843.669696
19.95218338,-276.3202041,893.7612465,3803.096774
-5.88468196,-251.5157834,937.9297114,3761.750754
-70.34014298,-220.9842818,977.8662202,3719.678205
-80.64933481,-184.0819691,1013.403633,3676.927671
-55.31859883,-140.3275053,1044.386513,3633.549592
-84.83172265,-89.50503564,1070.670545,3589.596213
-110.9522321,-31.76138947,1092.12212,3545.121501
-143.8516467,32.31250466,1108.618099,3500.181043
-186.7832793,101.6255481,1120.045777,3454.831954
-71.89990112,174.564051,1126.303076,3409.132774
169.8085593,249.0091209,1127.298958,3363.143362
148.6440131,322.3971272,1122.95407,3316.924789
135.3260754,391.8230726,1113.201621,3270.539231
102.5086662,454.1830089,1097.988476,3224.049849
133.6748655,506.3479961,1077.27646,3177.520678
131.6107882,545.358855,1051.043848,3131.016509
121.4818155,568.6284059,1019.287013,3084.602765
54.98610603,574.1362954,982.0222131,3038.345385
-33.22923817,560.6010745,939.2874654,2992.310698
-116.0547841,527.6149973,891.1444886,2946.565298
-145.0856411,475.729066,837.6806544,2901.175921
-158.0692494,406.47902,779.0109127,2856.209317
-200.5688263,322.3470582,715.2796415,2811.732127
-232.3318938,226.6587672,646.6623733,2767.810753
-180.5582456,123.4196596,573.3673493,2724.511237
-60.81647393,17.10049093,495.6368548,2681.899128
64.9576039,-87.61525805,413.748289,2640.039365
206.6139834,-186.105055,328.0149244,2598.996147
300.2342431,-274.0833721,238.7863152,2558.832814
