IMF1,IMF2,IMF3,IMF4,IMF5,IMF6,IMF7,IMF8,IMF9,IMF10,Res
4.564624553,1.044670906,1.080351494,2.780630414,-0.055398038,-3.299117324,-2.198099404,-0.062684397,0.030395438,-0.485127934,26.11975429
4.552270157,1.047449267,1.086960825,2.743322918,0.041554676,-3.408462555,-1.468759982,0.233468186,-0.252417612,0.376505401,26.10810872
4.539903138,1.05020859,1.092739126,2.701040703,0.142366028,-3.496057019,-0.721187835,0.340337005,0.000683829,-0.186480172,26.09644661
4.527545537,1.052943287,1.097555618,2.653049633,0.246800328,-3.567126326,0.033181851,0.232093226,0.79722587,-0.168030795,26.08476177
4.514966822,1.055709769,1.102701307,2.605844021,0.359729954,-3.526315963,1.07451862,0.108245695,0.096179382,0.1553025,26.07311789
4.502213358,1.058496743,1.107915655,2.558177184,0.480137534,-3.391138598,2.338476613,-0.110998073,-2.107352842,0.192570222,26.0615022
4.489701888,1.061199337,1.110780475,2.496341086,0.602448225,-3.307374534,3.107252961,-0.210856031,-1.379688192,-0.449603177,26.04979796
4.477438046,1.063815894,1.111254682,2.420003127,0.726864968,-3.273488192,3.348392084,-0.159907554,2.160102823,0.617520663,26.03800346
4.46525166,1.066389433,1.110328312,2.334923708,0.85547356,-3.228896965,3.361232628,-0.126331428,2.133493871,-0.758031274,26.02616649
4.453247556,1.068893474,1.107388982,2.237600384,0.986992582,-3.208220487,2.953602857,-0.052891854,-0.939509507,0.728638358,26.01425765
4.441123225,1.0714036,1.104173892,2.137637293,1.126095849,-3.098226172,2.620017629,0.00963038,-1.276605719,-0.717611366,26.00236139
4.4288598,1.073924488,1.100788639,2.035627292,1.273128498,-2.889925221,2.384318221,0.042883399,0.21780678,1.242105139,25.99048296
4.41669535,1.076396356,1.095854382,1.923834747,1.424775765,-2.666920983,1.832228543,0.118117525,0.404285726,-0.763823162,25.97855575
4.404563516,1.078835717,1.089748944,1.804336653,1.582146458,-2.402496374,1.064691936,0.220576865,0.091092694,-1.260094663,25.96659825
4.392137233,1.081333502,1.084625861,1.694200876,1.703836317,-2.165716376,0.525251885,0.223456017,0.037079442,1.349088198,25.95470705
4.379410954,1.083891922,1.080540054,1.59422442,1.785301232,-1.971509255,0.201929015,0.124445243,-0.141621188,0.670503441,25.94288416
4.366491794,1.086479784,1.076741866,1.497822481,1.846756908,-1.767191221,-0.051210553,-0.027435719,-0.1367221,-1.21283042,25.93109718
4.353292742,1.089121427,1.073807412,1.409658929,1.876119884,-1.574013533,-0.126858463,-0.264736057,0.11479375,0.419442028,25.91937188
4.340060555,1.091749741,1.070153673,1.317979487,1.896391131,-1.370212084,-0.395456941,-0.30707329,0.088700614,0.030070837,25.90763628
4.32680082,1.094363045,1.065738357,1.222422301,1.908512814,-1.15156345,-0.875454526,-0.130495776,-0.164130958,-0.34208128,25.89588865
4.313313007,1.097016486,1.061863223,1.133023203,1.889946648,-0.947862165,-1.294087597,0.103285618,-0.365243466,0.224557157,25.88418789
4.299644931,1.099697061,1.058220236,1.047523516,1.844811427,-0.754633868,-1.732862068,0.468502198,-0.601231669,0.417808205,25.87252003
4.285948135,1.102360311,1.053739262,0.956354565,1.804079809,-0.488859639,-2.035249313,0.582650644,-0.52479677,-0.547066032,25.86083903
4.272209449,1.10500965,1.048497971,0.860044004,1.767004987,-0.147612445,-2.155897339,0.404399689,-0.069065695,0.1762611,25.84914863
4.25838545,1.10765846,1.042820207,0.761830479,1.720817912,0.232011903,-2.2260465,0.178936924,1.213451457,-0.017328714,25.83746242
4.244508901,1.110296985,1.036469009,0.659558121,1.672662907,0.671376638,-2.193145971,-0.196040303,3.500471121,-0.041927776,25.82577037
4.230432275,1.112967368,1.030448763,0.561758374,1.597570697,1.114844508,-2.079061798,-0.432190505,2.085456093,0.013657543,25.81411668
4.216146278,1.115672296,1.024822191,0.469013306,1.493426723,1.558593379,-1.890830841,-0.491249236,-3.285984509,0.257886234,25.80250418
4.201748658,1.118383466,1.018909654,0.375430629,1.378114817,2.048323823,-1.568269607,-0.597925167,-4.261692891,-0.043926745,25.79090336
4.187204267,1.121110879,1.012948036,0.283031722,1.245588664,2.571923341,-1.112917906,-0.677282676,-1.440173375,-0.550757709,25.77932476
