IMF1,IMF2,IMF3,IMF4,IMF5,IMF6,IMF7,IMF8,IMF9,IMF10,IMF11,Res
0.202943301,0.02030778,-0.045711091,0.632904429,0.10887043,0.198484388,0.58145427,0.924507603,0.164944167,0.14120642,2.373617533,32.25055833
-0.129018429,0.230078715,0.729406957,0.421604047,0.058607322,0.195782783,0.791069046,0.870068933,-0.041285236,0.044590466,2.348600421,32.21197774
0.063976464,-0.31036241,-0.421160572,-0.570598073,-0.149196208,0.090900744,0.829632568,0.697678359,-0.250463238,-0.05911718,2.311781665,32.16396276
-0.005829131,0.181363827,-0.458246882,-0.538980183,-0.228740366,-0.03858031,0.704376058,0.431275293,-0.443281961,-0.156461833,2.274376697,32.1171947
-0.051573897,0.051669864,0.704521802,0.476239361,-0.015546722,-0.125674437,0.441142945,0.0949487,-0.61095739,-0.243323123,2.238680574,32.07361513
0.105691902,-0.237168532,-0.000881429,0.631298884,0.283460204,-0.149342081,0.079125851,-0.288770431,-0.754782622,-0.324047622,2.199042321,32.02743362
-0.147990459,0.271622577,-0.676378409,-0.352943507,0.323038642,-0.10541517,-0.306986046,-0.678230176,-0.866365869,-0.393355422,2.159039768,31.98184793
0.171499975,-0.145062995,0.42320813,-0.703516652,-0.00273186,-0.016669533,-0.632256454,-1.025957043,-0.93603768,-0.443922949,2.12425427,31.94198019
-0.181537031,-0.071124846,0.373464483,0.203085631,-0.406068338,0.064692849,-0.832152498,-1.294034519,-0.962047792,-0.474458248,2.094696911,31.90752762
0.168924141,0.235196669,-0.640901675,0.744176459,-0.442878332,0.101298065,-0.86013354,-1.443909031,-0.937046232,-0.47660084,2.077635399,31.88543492
-0.152545265,-0.276264985,0.011877818,-0.084616302,-0.029244084,0.057788723,-0.725874982,-1.465425359,-0.870679198,-0.455883639,2.067494869,31.87020576
0.13307937,0.169054596,0.618705144,-0.790033244,0.457979543,-0.045251839,-0.46293887,-1.354130735,-0.767749478,-0.411557854,2.065254316,31.86291831
-0.128643595,0.011216498,-0.393142944,-0.071765057,0.511479992,-0.151809215,-0.130877401,-1.121712476,-0.637264118,-0.345422956,2.069877438,31.86278987
0.137781928,-0.183523618,-0.39184376,0.789875923,0.013727645,-0.207799622,0.191166276,-0.801406539,-0.498247795,-0.267708738,2.07259343,31.86155112
-0.151319817,0.280905989,0.660933661,0.24653081,-0.551261813,-0.162528834,0.44529932,-0.426007087,-0.363437651,-0.183039606,2.070005417,31.85612755
0.17103465,-0.244933732,0.003056681,-0.734887944,-0.560360609,0.001750252,0.609475486,-0.020210187,-0.235043154,-0.087088678,2.067178678,31.85161649
-0.197443715,0.077092911,-0.7112125,-0.41347921,0.045817562,0.221949237,0.675807684,0.386106677,-0.117698146,0.02150485,2.066387729,31.85035556
0.215559085,0.132797437,0.436813004,0.630167293,0.645140714,0.371178811,0.641415746,0.758648083,-0.018604398,0.141433397,2.06774759,31.85271255
-0.216570892,-0.283752565,0.477881208,0.533750293,0.562537806,0.318831557,0.49388937,1.049509368,0.040889421,0.257114836,2.057768175,31.84573672
0.211741082,0.32738654,-0.729737783,-0.472452215,-0.123514917,0.073928192,0.265477822,1.242875898,0.062397139,0.372398481,2.041461679,31.83450869
-0.196523069,-0.228430233,-0.052968025,-0.596149881,-0.684681053,-0.240404329,-0.001583809,1.330115791,0.046693649,0.48805184,2.02058241,31.82075881
0.164518712,0.005285807,0.783655853,0.318622676,-0.519454291,-0.450961049,-0.2615746,1.312547895,-0.002461546,0.606235862,1.998418885,31.80780834
