IMF1,IMF2,IMF3,IMF4,IMF5,IMF6,IMF7,IMF8,IMF9,IMF10,IMF11,residual
-49.4523,444.4255113,109.8657649,1336.785118,351.085908,-96.82840187,-91.52035369,-73.17312459,113.808514,74.18923549,-5.63736232,3134.451491
-48.71387797,444.4533422,107.5203416,1384.766444,344.9859939,-86.79453914,-57.7985419,-59.09535638,72.32639946,-171.1581083,7.46940129,3136.008501
-47.99298619,444.412041,105.0349132,1433.358001,338.7991364,-75.58315311,-25.13965632,-30.94976149,15.10742279,-193.4241746,-9.243933364,3137.552151
-47.28559772,444.3239143,102.449309,1482.450409,332.3227101,-63.58491526,11.0988438,6.300802637,-79.70041774,-6.559977122,14.06910127,3139.085818
-46.53847349,444.3409872,100.3291298,1527.407741,326.0937383,-54.09587736,37.79847574,28.99891501,-113.1941804,55.97581113,-11.16412513,3140.637858
-45.74773912,444.4702565,98.71680524,1567.796568,320.2394839,-47.29061734,52.00536556,37.34107595,-74.76518978,60.04122495,-0.167100795,3142.209867
-44.93544019,444.6565175,97.37610492,1605.706726,314.361218,-41.89888932,63.28543346,39.28135121,-30.06684592,64.339271,2.693567556,3143.790986
-44.08650486,444.9417833,96.46752865,1639.799625,308.6319219,-38.83280203,67.46935642,28.88076677,46.95389336,18.21793035,-1.25262189,3145.389123
-43.23481416,445.2205274,95.63382686,1672.820781,302.9010997,-35.85869379,68.63612434,25.1488716,80.72061451,-17.07613141,-4.027430639,3146.985225
-42.38127029,445.4906733,94.86539917,1704.856104,297.1458343,-32.91828372,67.37730564,28.89718129,60.36979798,-44.61773023,20.21612274,3148.578866
-41.49522453,445.8430013,94.48697765,1733.308587,291.6014882,-31.94979466,57.82388407,25.62284336,43.69449153,-35.50532365,-16.35767179,3150.186742
-40.58285502,446.2579791,94.43360244,1758.669101,286.2449248,-32.53438033,40.6624718,19.35935248,10.42906068,26.34640999,-11.15101016,3151.805343
-39.67722607,446.6547758,94.35035625,1784.122305,280.4354792,-32.80363064,31.47289279,16.84659905,-9.957331037,32.33924123,18.50793017,3153.418608
-38.77670197,447.0393211,94.25438036,1809.550841,274.1590316,-32.86779245,30.62997036,17.04463013,-10.26470464,-11.55877223,-5.407752512,3155.027549
-37.86873777,447.4394833,94.28129962,1833.677284,267.7174141,-33.38386153,30.92102186,19.51735732,-21.2883008,-22.38725654,1.766359038,3156.637938
-36.9606758,447.8379223,94.35222432,1857.21984,260.9527201,-33.93854494,36.22280224,25.70444119,-34.75071647,-17.95064253,-5.13564419,3158.246274
-36.02378014,448.3097466,94.77446472,1877.514589,254.308502,-36.20718472,35.76801214,27.89495093,-35.58111399,-10.55567358,8.300419431,3159.867068
-35.05568349,448.8608938,95.5735225,1894.332929,247.8244415,-40.31602509,28.65178489,25.94601146,-25.82146947,11.94089326,-12.06878245,3161.501484
-34.07612134,449.441509,96.53806034,1909.537552,241.1529258,-45.12364241,23.38416961,24.84757985,-6.056860216,31.53726414,7.087812783,3163.13975
-33.07804551,450.0701349,97.74351338,1922.47499,234.3980635,-51.03586587,17.48061155,22.93328637,27.09956418,49.03223498,-3.343924389,3164.785437
-32.10300136,450.614418,98.75264393,1936.45789,227.4412608,-55.2904635,15.20017123,20.43750243,38.41544778,24.07359362,-10.79430832,3166.414845
