sub1,sub2,sub3,100mspd,10mspd
1.715823513,-5.580093706,35.25427019,12.3484,9.9108
-1.087011058,-5.615735649,35.60274671,12.1995,9.7784
-1.078870259,-2.429460405,35.85833066,12.0244,9.6351
0.111133762,-2.608529205,35.94739544,11.8583,9.5089
2.103325573,-2.764863864,35.85153829,11.7341,9.4253
-0.940241807,-0.224275,35.60451681,11.6708,9.3947
2.65172709,-1.983078222,35.27135113,11.6705,9.4108
-7.802912389,-5.535772489,34.91959035,11.7097,9.4437
5.451313542,-3.245925444,34.5946119,11.7589,9.4616
0.292535135,-0.990600838,34.3080657,11.8138,9.4712
0.299522696,-2.67208641,34.04256371,11.8732,9.4863
-0.572736752,-1.266250477,33.76898723,11.9172,9.5042
-1.576645152,1.368646255,33.4679989,11.9204,9.5127
0.126830168,-1.153079191,33.14624902,11.8899,9.5109
0.706199394,-2.876744789,32.84054539,11.8463,9.5054
0.49529197,0.286154497,32.60855353,11.8064,9.4984
0.040565708,1.489309488,32.5101248,11.7783,9.4871
1.256796548,-0.203666884,32.58687034,11.7676,9.4785
-2.229438915,0.481621998,32.84781692,11.7818,9.4843
-1.230605445,1.824570399,33.26603505,11.8298,9.5179
1.761933094,0.821609625,33.78645728,11.9177,9.5888
0.600550733,0.318671422,34.34077785,12.0363,9.6893
0.950069153,1.826791272,34.86313958,12.1733,9.807
-2.004880955,3.01384294,35.30103802,12.3161,9.93
0.21876117,2.692287851,35.61895098,12.4538,10.0484
0.10289892,1.781047608,35.79605347,12.5813,10.1608
0.25795029,1.569919379,35.82213033,12.6947,10.2679
-0.343214601,2.197069244,35.69614536,12.7902,10.3707
0.089597128,2.450681653,35.42972122,12.8633,10.467
0.792280841,2.123596517,35.05412264,12.9068,10.5422
0.418948217,2.334988738,34.62606304,12.9127,10.5784
-1.479162061,2.862626166,34.2265359,12.8732,10.5575
-0.544452471,2.265692508,33.94875996,12.7854,10.47
0.601525988,0.912757506,33.87571651,12.6677,10.34
1.3430584,1.00402415,34.05291745,12.5429,10.1998
-0.808592041,2.302880466,34.46571157,12.4337,10.0811
0.435037471,1.854195236,35.03076729,12.3577,10.0079
-1.503680196,0.315905894,35.6077743,12.3138,9.9761
0.955660803,0.923453759,36.03088544,12.2962,9.9752
0.614465475,1.493270388,36.15226414,12.2995,9.9946
-0.867164946,-0.717867677,35.88503262,12.3197,10.0262
-0.148596044,-1.483417431,35.23201348,12.3601,10.0718
0.365769098,0.573718575,34.29051233,12.4255,10.1353
0.132989137,0.176198638,33.23081222,12.5205,10.2207
0.450873539,-1.835350508,32.25447697,12.6466,10.3288
-0.023649921,-0.961354038,31.54500396,12.791,10.4483
-1.37971598,-0.165825528,31.22554151,12.9367,10.564
0.533698498,-1.729267838,31.33556934,13.0661,10.6605
-0.027945811,-2.283792832,31.83173864,13.1678,10.7286
0.567327061,-2.117300954,32.60997389,13.2563,10.7843
0.525854196,-2.50523325,33.53937905,13.3521,10.8501
-0.143213191,-1.362506189,34.49571938,13.4753,10.9479
-0.91275357,-0.851273158,35.38402673,13.6406,11.0924
-0.367742747,-3.087492569,36.14523532,13.8367,11.2647
-0.284861076,-2.893578313,36.74843939,14.0442,11.4359
1.202017894,0.152244459,37.17573765,14.2404,11.5746
0.38043781,-0.549138069,37.40870026,14.4054,11.6564
1.073779474,-3.147435969,37.42365649,14.536,11.6911
-2.234187687,-1.544024741,37.19821243,14.6343,11.6979
-0.440538242,0.614778297,36.72575995,14.7027,11.6961
-0.123565748,-1.067033368,36.03059912,14.7436,11.7007
0.716606397,-2.251981902,35.1753755,14.7623,11.7115
1.941743748,-0.316970964,34.25522722,14.7642,11.7246
0.006991284,1.36471701,33.37829171,14.7552,11.7362
-2.008994261,1.981025631,32.63796863,14.7397,11.7427
-0.615444103,2.819154384,32.08628972,14.7184,11.7427
-0.331056079,2.282764527,31.71829155,14.6911,11.7351
1.147399213,0.228521782,31.47407901,14.6574,11.719
1.820873415,0.019759501,31.25936708,14.6168,11.6936
-0.05333499,2.09456416,30.97877083,14.5678,11.6596
-1.913645056,3.392335742,30.57130931,14.5088,11.6181
-0.593021645,3.666767692,30.03625395,14.4381,11.5701
-0.343601228,5.013462354,29.44013887,14.3565,11.5179
1.059159729,6.329210344,28.90162993,14.273,11.4692
1.675173231,4.816731565,28.5580952,14.1991,11.4326
-0.196546191,1.942766991,28.5237792,14.1461,11.417
-1.18962285,1.797160203,28.85246265,14.1217,11.4281
-1.19819143,4.101779974,29.51641146,14.1168,11.4572
0.470026214,5.291358077,30.40861571,14.1173,11.4912
0.153276433,5.238418082,31.36830548,14.1078,11.5157
1.842628141,5.554684649,32.22268721,14.0778,11.5204
-0.448764665,4.815840366,32.8329243,14.0391,11.5141
-1.0004164,2.719368359,33.13104804,14.0081,11.5097
-0.74810557,2.311030671,33.1370749,14.0005,11.5195
0.669014583,3.559689968,32.95129545,14.0257,11.5513
0.395112484,3.591110435,32.72377708,14.066,11.5914
0.657320416,2.903146212,32.60953337,14.0938,11.6189
-0.907033976,2.915265803,32.72176817,14.0792,11.611
