Power,100mspd,10mspd,Pre,Hum,Cloud,10mdir,Temp,Irra,Rain,100mdir
36.29,14.273,11.4692,102502.232,99.8078,1,29.2607,284.4915,0,0.00082209,29.8772
35.05,14.1991,11.4326,102505.3112,99.8452,1,29.2499,284.4535,0,0.000884,29.8703
30.27,14.1461,11.417,102508.875,99.8116,1,29.4499,284.4263,0,0.00094604,30.0507
29.46,14.1217,11.4281,102513.6737,99.6718,1,29.9034,284.4132,0,0.0010046,30.455
32.42,14.1168,11.4572,102518.9932,99.484,1,30.473,284.4128,0,0.0010525,30.957
36.17,14.1173,11.4912,102523.7536,99.3294,1,30.9786,284.4225,0,0.0010815,31.3899
36.76,14.1078,11.5157,102526.875,99.2894,1,31.2445,284.4395,0,0.0010834,31.5887
39.62,14.0778,11.5204,102527.6016,99.4071,1,31.1645,284.4597,0,0.0010574,31.4544
37.2,14.0391,11.5141,102526.4749,99.5733,1,30.9013,284.4731,0,0.0010323,31.1514
34.85,14.0081,11.5097,102524.3607,99.6407,1,30.685,284.4683,0,0.0010442,30.9118
34.7,14.0005,11.5195,102522.125,99.462,1,30.7463,284.4339,0,0.0011292,30.971
37.18,14.0257,11.5513,102520.43,98.9451,1,31.2184,284.3633,0,0.0013084,31.4641
36.71,14.066,11.5914,102519.1239,98.2189,1,31.8493,284.27,0,0.0015439,32.129
36.17,14.0938,11.6189,102517.8516,97.4675,1,32.2976,284.1721,0,0.0017828,32.6103
34.73,14.0792,11.611,102516.2578,96.875,1,32.2274,284.0878,0,0.0019722,32.5581
34.23,13.9991,11.5508,102514.0152,96.5873,1,31.4067,284.0312,0,0.0020728,31.7316
34.25,13.8541,11.4409,102510.9075,96.5972,1,30.0332,284.0002,0,0.0020999,30.339
34.32,13.6475,11.2863,102506.7464,96.8592,1,28.4113,283.9883,0,0.0020822,28.6992
34.42,13.3751,11.0861,102501.3438,97.3277,1,26.8538,283.9892,0,0.0020485,27.1404
34.54,13.0341,10.8393,102494.6907,97.9477,1,25.597,283.9966,0,0.0020238,25.9101
34.55,12.6609,10.5678,102487.4972,98.625,1,24.509,284.0054,0,0.0020176,24.866
33.12,12.3059,10.3032,102480.6527,99.2559,1,23.3579,284.0102,0,0.0020354,23.7597
34.15,12.0241,10.0807,102475.0469,99.7365,1,21.904,284.0059,0,0.0020828,22.3344
30.08,11.8606,9.9312,102471.2484,99.9559,1,20.0199,283.9892,0,0.0021633,20.4564
21.4,11.7984,9.8504,102468.5433,99.7748,1,18.0336,283.9636,0,0.0022714,18.4752
18.68,11.7947,9.8167,102465.8965,99.0467,1,16.3921,283.9347,0,0.0023997,16.8539
22.35,11.7972,9.8009,102462.2734,97.6251,1,15.5281,283.9078,0,0.0025406,16.0267
26.08,11.7653,9.7786,102457.1438,95.4897,1,15.6932,283.8874,0,0.0026864,16.2408
29.16,11.713,9.7519,102451.9958,93.1248,1,16.4715,283.8744,0,0.0028286,17.0777
24.66,11.6665,9.7293,102448.8226,91.1412,1,17.276,283.8685,0,0.0029584,17.9465
16.47,11.6461,9.7141,102449.6172,90.1492,1,17.5125,283.8698,0,0.003067,18.2414
18.29,11.6656,9.7098,102455.5811,90.5447,1,16.7845,283.8781,0,0.003148,17.5573
26.8,11.7226,9.723,102464.7508,91.864,1,15.5,283.8931,0,0.003204,16.3116
29.46,11.8049,9.757,102474.3712,93.4286,1,14.2724,283.9146,0,0.0032402,15.1234
27.8,11.8912,9.8067,102481.6875,94.56,1,13.708,283.9424,0,0.0032616,14.5912
27.25,11.9631,9.8655,102484.9461,94.7745,1,14.2159,283.9755,0,0.0032728,15.1142
24.08,12.0275,9.9324,102486.3995,94.3665,1,15.475,284.0106,0,0.0032763,16.3771
25.29,12.0967,10.007,102489.3016,93.8253,1,16.9917,284.0436,0,0.0032744,17.8962
24.36,12.1745,10.0818,102496.9063,93.6401,1,18.2883,284.0707,0,0.0032692,19.196
23,12.2569,10.146,102511.399,94.1392,1,19.0261,284.0879,0,0.0032629,19.9329
20,12.341,10.2018,102530.6913,95.0064,1,19.3575,284.0916,0,0.0032586,20.2534
22.12,12.4278,10.2572,102551.6262,95.7647,1,19.548,284.0782,0,0.0032596,20.4195
22.09,12.5199,10.3219,102571.0469,95.9372,1,19.8558,284.0443,0.14222,0.0032692,20.686
23.63,12.6191,10.4037,102586.525,95.1968,1,20.4712,283.9887,1.4607,0.0032894,21.2417
22.24,12.7224,10.5006,102598.5474,93.8165,1,21.3366,283.9203,3.5695,0.0033173,22.0385
23.93,12.8249,10.6077,102608.3292,92.2196,1,22.3363,283.8504,6.4891,0.0033488,22.9733
24.8,12.9208,10.7189,102617.0859,90.8292,1,23.3604,283.7901,10.24,0.0033798,23.9477
26.04,13.0027,10.8262,102625.7329,89.9625,0.95478,24.3083,283.7481,15.2875,0.0034069,24.8682
27.15,13.0621,10.9177,102633.9855,89.5142,0.93752,25.0956,283.7219,23.8762,0.003429,25.6446
28.91,13.0893,10.9799,102641.259,89.2727,0.93752,25.6459,283.7063,38.6958,0.0034455,26.1888
27.6,13.0747,10.9994,102646.9688,89.0267,0.93752,25.8837,283.6964,62.4356,0.0034561,26.4123
32.63,13.0159,10.9707,102650.4506,88.6247,0.93752,25.7808,283.6876,96.4182,0.0034607,26.2758
33.83,12.9398,10.9186,102650.7225,88.154,0.93752,25.5077,283.6795,136.4988,0.0034608,25.9528
30.35,12.88,10.8752,102646.723,87.762,0.93994,25.2888,283.6722,177.1656,0.0034586,25.6757
30.99,12.8692,10.8723,102637.3906,87.5959,0.98438,25.3537,283.6658,212.9067,0.0034561,25.6832
31.44,12.9271,10.9296,102622.2324,87.7684,1,25.8426,283.6608,240.0107,0.0034549,26.1244
30.68,13.0218,11.0193,102603.0297,88.2546,1,26.5482,283.6583,261.9683,0.0034549,26.7949
31.8,13.1062,11.0994,102582.1325,88.9953,1,27.1882,283.6598,284.0707,0.0034554,27.4125
31.6,13.1308,11.1262,102561.8906,89.9312,1,27.4971,283.6667,311.6089,0.0034561,27.7095
32.06,13.06,11.0679,102544.0804,90.9925,1,27.0167,283.6796,347.2078,0.0034565,27.5022
35.31,12.9164,10.9455,102528.1839,92.0686,1,26.715,283.6958,382.8277,0.0034565,26.9222
34.26,12.7374,10.793,102513.1095,93.0385,1,25.9788,283.7121,407.7627,0.0034564,26.1818
33.96,12.5586,10.6428,102497.7656,93.781,1,25.3185,283.725,411.3067,0.0034561,25.5079
34.1,12.4088,10.5211,102481.2289,94.214,1,24.9375,283.7317,386.5625,0.0034559,25.0999
34.29,12.2987,10.4357,102463.2492,94.4107,1,24.8476,283.7316,341.8674,0.0034557,24.9786
31.92,12.2356,10.3911,102443.7445,94.4829,1,25.0047,283.7247,289.3675,0.0034558,25.1133
29.04,12.2274,10.3923,102422.6328,94.5428,1,25.358,283.7108,241.2089,0.0034561,25.4664
30.25,12.2769,10.4398,102400.2562,94.6894,1,25.8429,283.6913,206.9357,0.0034567,25.9812
27.73,12.3635,10.516,102378.6523,94.9693,1,26.3635,283.6727,185.6849,0.0034572,26.5496
28.4,12.4599,10.598,102360.2828,95.4164,1,26.8215,283.6629,173.9917,0.0034572,27.0561
29.03,12.5383,10.6623,102347.6094,96.0644,1,27.1256,283.6696,168.3911,0.0034561,27.3935
26.54,12.5762,10.6907,102342.2714,96.9177,1,27.2243,283.6968,165.5743,0.0034539,27.4995
26.99,12.5753,10.6861,102342.6192,97.8632,1,27.2088,283.7332,162.8566,0.0034521,27.4719
25.05,12.5434,10.6571,102346.1809,98.7583,1,27.2036,283.7634,157.7092,0.0034522,27.4457
21.06,12.4885,10.6122,102350.4844,99.4605,1,27.3342,283.7723,147.6033,0.0034561,27.5566
23.21,12.4219,10.5622,102353.65,99.8683,1,27.7008,283.7489,130.9842,0.003465,27.9125
23.39,12.3693,10.5257,102356.1667,100.0438,1,28.2938,283.7006,110.1918,0.0034779,28.4987
24.39,12.3596,10.5235,102359.1156,100.0902,1,29.0704,283.6388,88.5403,0.0034933,29.2631
22.98,12.4218,10.5764,102363.5781,100.1108,1,29.9787,283.5754,69.3436,0.0035095,30.1439
25.13,12.5729,10.6962,102370.3382,100.1834,1,30.9483,283.5208,55.0745,0.0035253,31.0634
28.96,12.7839,10.8605,102378.9915,100.2855,1,31.8723,283.4809,44.8414,0.0035399,31.9242
