sub1,sub2,sub3,sub4,sub5,100mspd,10mspd
5.547378958,-9.621521753,-2.280006602,-0.820128249,25.46427765,11.6656,9.7098
5.517969089,-2.007089367,-3.290800404,1.126828647,25.45309203,11.7226,9.723
5.489583734,-0.539990926,-3.239016948,2.30742173,25.44200241,11.8049,9.757
5.462359059,-2.819069898,-3.055483721,2.78117811,25.43101645,11.8912,9.8067
5.435129156,-3.575439031,-2.985659846,2.955899963,25.42006976,11.9631,9.8655
5.408274094,-4.977765008,-4.284052415,2.524359753,25.40918358,12.0275,9.9324
5.380450575,-5.597270029,-1.985574173,2.094112061,25.39828157,12.0967,10.007
5.351416046,-4.934133177,-3.114327301,1.66969416,25.38735027,12.1745,10.0818
5.322093449,-5.12581826,-3.257949274,0.68523211,25.37644197,12.2569,10.146
5.292079815,-5.80592356,-4.093187211,-0.758502973,25.36553393,12.341,10.2018
5.261906769,-5.05822407,-1.889341585,-1.548998054,25.35465694,12.4278,10.2572
5.231647149,-3.053578956,-3.758963885,-1.672919577,25.34381527,12.5199,10.3219
5.200677303,-2.597482861,-2.692200833,-1.613967006,25.3329734,12.6191,10.4037
5.169105287,-3.521349347,-3.632527282,-1.097366362,25.3221377,12.7224,10.5006
5.138382993,-3.15864225,-2.6011814,-0.759949542,25.3113902,12.8249,10.6077
5.108549765,-1.93420195,-3.029348825,-0.645732176,25.30073318,12.9208,10.7189
5.078976236,-1.237903958,-2.882004794,-0.209198892,25.29013141,13.0027,10.8262
5.050032633,-0.698764505,-2.895429793,0.414555798,25.27960587,13.0621,10.9177
5.020714933,0.26018842,-2.333364483,0.693361181,25.26909995,13.0893,10.9799
4.990956069,1.500197665,-4.796275801,0.646512054,25.25861002,13.0747,10.9994
4.961566416,2.964098614,-0.980933227,0.437086248,25.24818195,13.0159,10.9707
4.932326301,4.745911231,-1.023301535,-0.062739473,25.23780347,12.9398,10.9186
4.901034814,5.195166355,-4.439124809,-0.534430347,25.22735399,12.88,10.8752
4.86756454,4.173170447,-2.296130143,-0.971431639,25.21682679,12.8692,10.8723
4.832794979,4.547097332,-1.504301218,-1.641861109,25.20627002,12.9271,10.9296
4.79611601,6.073947714,-2.899680071,-2.486034021,25.19565037,13.0218,11.0193
4.758991004,6.184506411,-1.846263535,-2.482282461,25.18504858,13.1062,11.0994
4.721463664,5.274267167,-2.003824914,-1.566373098,25.17446718,13.1308,11.1262
4.68225406,4.920890352,-2.522774657,-0.184205742,25.16383599,13.06,11.0679
